date,Open,High,Low,Close,Volume
2020-10-13,117.12530955318093,117.9862399499294,116.62228956259696,117.0962905883789,13100
2020-10-14,117.36717079085868,117.74346537245518,115.47022159014251,116.05158996582033,37800
2020-10-15,114.17493963142118,115.3841125197997,113.94181369637415,115.21676635742188,30600
2020-10-16,115.98386804288832,116.47721266104811,114.6295928955078,114.6295928955078,51000
2020-10-19,115.916137982381,115.916137982381,112.43855598139452,112.6465301513672,50600
2020-10-20,113.0915402327139,114.22912527533371,112.49178774479056,113.07218933105467,49800
2020-10-21,113.1302132406035,114.14592142571117,112.85935969262962,113.21727752685548,28200
2020-10-22,113.28499145762864,113.51618378145854,111.6888817506004,112.90773010253906,24800
2020-10-23,113.16890578832364,113.17858123779295,112.02744629772572,113.17858123779295,40600
2020-10-26,112.22091469054858,113.15923399262417,110.13049367941912,111.41802215576172,74400
2020-10-27,111.84366648559092,112.6465517344256,111.37934081451726,112.29830932617188,46900
2020-10-28,110.54744110244673,110.54744110244673,107.8582412896894,108.0420379638672,138800
2020-10-29,108.49667644769048,110.92372366530908,108.34286557110693,109.80258178710938,79600
2020-10-30,109.01902710178592,109.31890700334893,106.10734403521336,107.23912811279295,130600
2020-11-02,108.00331280177036,108.57403880411914,106.11699886101717,107.2778091430664,74100
2020-11-03,108.06136816194628,109.91865605653996,107.67443133885442,109.72615814208984,61800
2020-11-04,112.6465423779142,114.67989233125392,112.18222412561336,113.94277954101562,109700
2020-11-05,116.57396086166976,117.3371923300297,116.0999596985336,116.97056579589844,146500
2020-11-06,116.69002526040452,117.26075873809503,115.18581379540956,117.04794311523438,47100
2020-11-09,118.21841723893236,118.70208640726784,114.6295928955078,114.6295928955078,154000
2020-11-10,113.32366854736276,113.83635659869222,111.58342368907644,112.51787567138672,84200
2020-11-11,113.63323882977782,115.30673006702229,113.63323882977782,115.21967315673828,65800
2020-11-12,115.5775916370039,116.02256640135631,114.14592760283028,114.55220794677734,44900
2020-11-13,115.29704421222796,115.7110589460177,114.43901421178003,115.6452865600586,39900
2020-11-16,115.55824603620016,116.55557022870012,115.1422902230245,116.14832305908205,47000
2020-11-17,116.6223181994954,116.69003159406222,115.9451842538274,116.1386489868164,29000
2020-11-18,115.9451927781175,116.53526985138488,115.5079524123356,115.64337921142578,35200
2020-11-19,115.0842435961648,116.20635223388672,114.92946591912406,116.20635223388672,52700
2020-11-20,116.14832233392497,116.36984660798556,115.49053192138672,115.49053192138672,37000
2020-11-23,115.85810042549883,116.24503720645028,114.49415731339651,115.40345764160156,50500
2020-11-24,115.88713431803951,117.1543451624622,115.1858081280626,117.08663177490234,90900
2020-11-25,117.42521258903813,117.96595294646674,117.23368146733604,117.74346923828124,44200
2020-11-27,118.54732658845028,119.27283040507432,118.42350148433124,118.74079132080078,35500
2020-11-30,118.95358463748248,119.13738126487767,117.18335388578544,118.99227905273438,84000
2020-12-01,120.0176672034001,121.2268401249223,119.63943903533924,120.6464385986328,92800
2020-12-02,120.10472923507837,120.8399010438042,119.40824446453334,120.76251220703124,140900
