date,Open,High,Low,Close,Volume
2000-05-19,89.81169552762792,89.81169552762792,88.2967994584872,88.57223510742188,775500
2000-05-22,88.51321166937619,88.51321166937619,86.13266074428294,88.0213623046875,1850600
2000-05-23,88.27710912966803,88.27710912966803,86.68351745605469,86.68351745605469,373900
2000-05-24,86.7228530174078,88.17872668421546,86.03426412094471,87.98198699951172,400300
2000-05-25,88.15908328611408,88.7296285695993,86.80157899092508,87.17538452148438,69600
2000-05-26,87.18520729689338,87.35243605962013,86.25069362283213,86.78189086914062,237000
2000-05-30,87.68690481010081,89.67397624510646,87.68690481010081,89.63462829589844,118100
2000-05-31,89.3198811394768,90.42162416674788,89.3198811394768,89.89042663574219,216900
2000-06-01,90.59870740043247,91.32664489746094,90.42164152277692,91.32664489746094,128700
2000-06-02,93.37271497216364,93.66782469078616,92.8415174786431,93.13662719726562,108400
2000-06-05,92.54636922451428,92.95952265855227,92.34962949402,92.52669525146484,192100
2000-06-06,92.19225274591676,92.66442817611352,91.72007731572,92.05453491210938,209300
2000-06-07,92.05458091849228,92.86121434821192,91.70044916885928,92.66447448730467,85400
2000-06-08,93.05791613036016,93.05791613036016,91.87747744794544,92.3299789428711,248400
2000-06-09,92.87099816638042,92.87099816638042,91.83811448801266,91.9955062866211,20200
2000-06-12,92.31028712501728,92.31028712501728,91.1987075805664,91.1987075805664,17600
2000-06-13,91.2872647183108,92.70379123980182,90.97248104686834,92.38900756835938,40300
2000-06-14,93.0185708860367,93.41205045831266,92.62509131376072,92.95954895019533,353900
2000-06-15,92.97922292880912,93.33335454385748,92.30047066663307,92.95954895019533,338500
2000-06-16,93.56942260067764,93.56942260067764,92.2119183619378,92.58572387695312,855900
2000-06-19,92.27094868795923,93.82519281298032,92.23160073542708,93.50057220458984,160000
2000-06-20,93.56943413740387,93.579271125854,92.73329011914493,92.98905181884766,182600
2000-06-21,92.54223048453927,93.34951377174484,92.54223048453927,93.16246032714844,137500
2000-06-22,92.89668568347624,92.89668568347624,91.36087782351204,91.63653564453124,182900
2000-06-23,91.67589514354336,91.91217322381024,90.73078282247592,90.9769058227539,238200
2000-06-26,91.38055444406451,92.0303192138672,91.24272555350032,92.0303192138672,26000
2000-06-27,91.87281166050398,92.17800424103072,91.51839447021486,91.51839447021484,40900
2000-06-28,91.55772914083832,92.56191068625397,91.55772914083832,91.94168090820312,51200
2000-06-29,91.1344237799968,91.5183756572162,90.45512430491635,90.82923126220705,48500
2000-06-30,90.72095651578448,91.66606903076172,90.72095651578448,91.66606903076172,16800
2000-07-03,91.67587831514814,92.7095947265625,91.65618847874023,92.7095947265625,7100
2000-07-05,92.1582831416232,92.2173526533046,91.1245666871984,91.41991424560548,27400
2000-07-06,91.28208473359268,92.06967821705766,90.86859815477357,91.8727798461914,40100
2000-07-07,92.22721761927056,93.56612684175356,92.22721761927056,93.2313995361328,65500
2000-07-10,93.03453387733944,93.6646090274082,93.03453387733944,93.07391357421876,77500
2000-07-11,92.77855690251664,93.88118830882836,92.77855690251664,93.4283218383789,40700
2000-07-12,94.03865761597986,94.47183401203336,93.80237958176885,93.9402084350586,2642100
2000-07-13,94.3340389139348,94.68845609207106,93.96977681418365,94.25527954101562,971600
2000-07-14,94.6687584487866,95.22007401379618,94.39310066628182,95.1314697265625,158800
2000-07-17,94.97394612171986,95.7123151441236,94.8853418390314,95.07239532470705,430100
2000-07-18,94.8066218952661,94.82631174405016,94.11747718782388,94.39313507080078,763600
2000-07-19,94.09777546712137,94.24544931437046,93.507080078125,93.507080078125,120000
2000-07-20,93.80240666052752,94.7770538330078,93.73349221398853,94.7770538330078,96500
2000-07-21,94.13716538995976,94.15685523839942,93.07391357421876,93.07391357421876,601300
2000-07-24,93.40855891403169,93.62514705653894,92.36499786376952,92.36499786376952,251700
2000-07-25,92.91636795504864,92.94590271917929,92.5028812572194,92.88683319091795,116700
2000-07-26,92.542244146948,92.5520890665381,91.83340993646074,91.99092864990234,474800
2000-07-27,91.81370739411564,92.3453329784264,91.28208180980488,91.60696411132812,94200
2000-07-28,91.6759316451312,91.6759316451312,89.15563111880458,89.6084976196289,1147800
2000-07-31,90.06131744384766,90.70123716770534,89.72659020367594,90.06131744384766,332900
2000-08-01,90.27791089039304,90.97690016773412,90.27791089039304,90.77015686035156,481700
2000-08-02,91.14426018724916,91.56759170464512,90.78984310291769,90.95720672607422,505900
2000-08-03,90.06131489852945,91.77433072628897,90.06131489852945,91.5971221923828,173500
2000-08-04,92.01062387645754,92.25674688062097,91.6562067504622,92.14845275878906,132900
2000-08-07,92.39455665907508,93.43811798095705,92.28626255963452,93.43811798095705,6500
2000-08-08,93.15265273686802,93.6842785292788,93.0542035160512,93.61536407470705,175400
2000-08-09,93.94023332656312,93.94023332656312,93.13294982910156,93.13294982910156,123100
2000-08-10,92.95571063608234,93.00493522337108,92.20749690929328,92.25672149658205,118000
2000-08-11,92.32568598906266,92.98529581645307,92.05002815075026,92.81793212890624,129400
2000-08-14,92.93602486777652,94.1469497680664,92.8769553604453,94.1469497680664,70100
2000-08-15,93.9599026411828,94.21587052348276,93.63502032903286,93.9008331298828,343600
2000-08-16,94.05835912839788,94.34386178851128,93.22154098668614,93.2510757446289,155000
2000-08-17,93.58583798629655,94.6884693616874,93.56614814030743,94.4620361328125,96900
2000-08-18,94.58995492117744,94.64902441842216,94.07801927839006,94.27491760253906,269000
2000-08-21,94.60967322763965,94.83610636855909,94.15680694580078,94.15680694580078,43000
2000-08-22,94.76718302727932,95.20035943006349,94.58997449886763,94.78687286376952,380100
2000-08-23,94.43244194774496,95.13143104056084,94.09771477653734,95.0329818725586,239100
2000-08-24,94.96413377206936,95.40715533745843,94.93459900104342,95.19056701660156,53100
2000-08-25,95.3283885469214,95.50559715931884,95.14133501161297,95.23978424072266,136000
2000-08-28,95.20035328824798,96.23406963729308,95.20035328824798,95.63352966308594,354000
2000-08-29,95.41692434585806,95.61382266270876,95.29878535574764,95.5645980834961,66900
2000-08-30,95.22007062552552,95.22007062552552,94.76720428466795,94.76720428466795,260100
2000-08-31,95.1413126523217,96.4309972505682,95.06255328754328,95.93875122070312,843400
2000-09-01,96.42113096535212,96.6967886809974,95.88950537089336,95.95841979980467,278000
2000-09-05,95.63349609280488,95.7910147192703,95.06249107186784,95.36768341064452,140700
